Genus,Species,Analogue,SitePair,Type,UrchinID,Condition,Abs_lat,UrchinID,TestDiameter,ThicknessCT(um),Mean_intensity,Voxel_size,Porosity,MgCO3,Spine_length,Spine_diameter,Spine_porosity,Jaw_length,UrchinID
Arbacia,lixula,Castello North,Castello North,Seep,A-CN-C1,Reference,40.73187,A-CN-C1,47.636,849.627,38688.8,2.7025,42.3009954,10.6836734693878,23.217,1420.943,40.3324548,14.5,A-CN-C1
Arbacia,lixula,Castello North,Castello North,Seep,A-CN-C2,Reference,40.73187,A-CN-C2,56.782,992.085,39260.7,2.5773,32.69088,10.9081632653061,23.2438,1412.869,35.4327103,18.3,A-CN-C2
Arbacia,lixula,Castello North,Castello North,Seep,A-CN-C3,Reference,40.73187,A-CN-C3,53.411,882.273,36623.5,2.5772,31.46961,10.7857142857143,23.988,1396.713,37.7267245,14.8,A-CN-C3
Arbacia,lixula,Castello North,Castello North,Seep,A-CN-C4,Reference,40.73187,A-CN-C4,48.879,907.861,36618.8,2.9506,30.26392,9.49659864,23.449,1449.567,40.7626474,15.1,A-CN-C4
Arbacia,lixula,Castello North,Castello North,Seep,A-CN-C5,Reference,40.73187,A-CN-C5,45.731,859.643,36574.5,2.5767,30.7789662,10.9829932,23.6026,1332.2,,14.2,A-CN-C5
Arbacia,lixula,Castello North,Castello North,Seep,A-CN-C6,Reference,40.73187,A-CN-C6,56.565,867.154,38212,2.5770,33.8783817,10.9319728,20.4114,1363.8,,16.4,A-CN-C6
Arbacia,lixula,Castello North,Castello North,Seep,A-CN-C7,Reference,40.73187,A-CN-C7,53.699,1016.15833,41223.1,2.44976,43.2642201,11.5612245,19.597,1295.017,32.7199861,17.5,A-CN-C7
Arbacia,lixula,Castello North,Castello North,Seep,A-CN-C8,Reference,40.73187,A-CN-C8,40.26,860.726,38860.4,2.229,46.3679928,,21.951,1378.907,32.3548737,13.7,A-CN-C8
Paracentrotus,lividus,Castello North,Castello North,Seep,P-CN-C1,Reference,40.73187,P-CN-C1,61.028,673.883,36458.7,3.2145,36.226621,9.48979592,18.904,1304.985,20.0965283,12.6,P-CN-C1
Paracentrotus,lividus,Castello North,Castello North,Seep,P-CN-C2,Reference,40.73187,P-CN-C2,57.999,784.94,34768.1,2.64748,42.1494583,11.7823129251701,19.612,1270.645,21.2809847,12.5,P-CN-C2
Paracentrotus,lividus,Castello North,Castello North,Seep,P-CN-C3,Reference,40.73187,P-CN-C3,64.492,718.810667,35429.7,3.1767,41.36161,10.8129252,16.6588,1245.076,17.8310646,13,P-CN-C3
Paracentrotus,lividus,Castello North,Castello North,Seep,P-CN-C4,Reference,40.73187,P-CN-C4,62.881,876.446,36547.7,3.5988,35.73207,11.2857143,19.545,1302.709,15.7782067,12.6,P-CN-C4
Paracentrotus,lividus,Castello North,Castello North,Seep,P-CN-C5,Reference,40.73187,P-CN-C5,58.219,691.526,36993.2,2.6726,34.55525,11.1836734693878,17.784,1168.681,16.0825862,11.9,P-CN-C5
Paracentrotus,lividus,Castello North,Castello North,Seep,P-CN-C6,Reference,40.73187,P-CN-C6,54.171,604.954,37127.9,3.0014,30.6871136,11.9353741496599,17.600,1189.931,16.7574004,10.9,P-CN-C6
Paracentrotus,lividus,Castello North,Castello North,Seep,P-CN-C7,Reference,40.73187,P-CN-C7,51.806,640.411,33715.1,3.0011,40.2577929,10.4727891,17.771,1328.6,,11.2,P-CN-C7
Paracentrotus,lividus,Castello North,Castello North,Seep,P-CN-C8,Reference,40.73187,P-CN-C8,48.334,610.462667,36123.8,2.39142,34.5648277,,19.023,1064.4,,10.2,P-CN-C8
Arbacia,lixula,Castello North,Castello North,Seep,A-CN-V1,Extreme,40.73187,A-CN-V1,41.963,745.066,41062,2.8733,47.2691,10.843537414966,21.595,1376.16,43.5486162,13.1,A-CN-V1
Arbacia,lixula,Castello North,Castello North,Seep,A-CN-V2,Extreme,40.73187,A-CN-V2,52.72,747.999667,41393.8,2.8739,45.73362,10.9421768707483,19.4366,1432.172,33.4909623,16.7,A-CN-V2
Arbacia,lixula,Castello North,Castello North,Seep,A-CN-V3,Extreme,40.73187,A-CN-V3,37.06,760.807,41088.1,2.229,53.1759314,11.7619047619048,20.268,1329.126,40.840941,11.4,A-CN-V3
Arbacia,lixula,Castello North,Castello North,Seep,A-CN-V4,Extreme,40.73187,A-CN-V4,51.249,900.639,39207.1,2.3362,44.91992,11.9013605,21.035,1349.317,31.2879869,16.9,A-CN-V4
Arbacia,lixula,Castello North,Castello North,Seep,A-CN-V5,Extreme,40.73187,A-CN-V5,50.329,860.529,37640.5,2.5773,40.0455829,10.8061224,20.179,1422.6,,14.2,A-CN-V5
Arbacia,lixula,Castello North,Castello North,Seep,A-CN-V6,Extreme,40.73187,A-CN-V6,44.564,813.561,38582,2.5774,37.07725,10.5646259,17.908,1370.274,35.7683653,14.6,A-CN-V6
Arbacia,lixula,Castello North,Castello North,Seep,A-CN-V7,Extreme,40.73187,A-CN-V7,45.856,810.738,36788.4,2.4760,45.45286,11.5782313,20.479,1492.605,34.4060151,15.9,A-CN-V7
Arbacia,lixula,Castello North,Castello North,Seep,A-CN-V8,Extreme,40.73187,A-CN-V8,40.252,900.852667,37265.3,2.229,54.3249931,,21.4426,1323,,13.2,A-CN-V8
Paracentrotus,lividus,Castello North,Castello North,Seep,P-CN-V1,Extreme,40.73187,P-CN-V1,60.089,698.884,38919.1,3.2147,44.96981,11.0510204081633,14.833,1198.63,17.8486015,13,P-CN-V1
Paracentrotus,lividus,Castello North,Castello North,Seep,P-CN-V2,Extreme,40.73187,P-CN-V2,59.895,805.352,36606.3,2.39142,51.7589625,,13.128,1150,,13.6,P-CN-V2
Paracentrotus,lividus,Castello North,Castello North,Seep,P-CN-V3,Extreme,40.73187,P-CN-V3,56.819,644.305,35814.3,3.0011,40.2717102,11.1496599,13.7246,1200.392,18.476277,12.7,P-CN-V3
Paracentrotus,lividus,Castello North,Castello North,Seep,P-CN-V4,Extreme,40.73187,P-CN-V4,54.37,697.382,38856,2.6726,41.0330136,12.9285714,13.597,1200.569,22.6385214,11.7,P-CN-V4
Paracentrotus,lividus,Castello North,Castello North,Seep,P-CN-V5,Extreme,40.73187,P-CN-V5,54.141,666.323,39192,3.2148,42.23146,11.4829931972789,14.791,1113.46,19.8725442,11.4,P-CN-V5
Paracentrotus,lividus,Castello North,Castello North,Seep,P-CN-V6,Extreme,40.73187,P-CN-V6,41.062,474.051,27261,2.8738,43.795784,12.6054421768707,13.4032,1109.216,18.4289371,10.4,P-CN-V6
Paracentrotus,lividus,Castello North,Castello North,Seep,P-CN-V7,Extreme,40.73187,P-CN-V7,30.497,570.77,38411.2,2.4140,46.969374,13.2142857,12.041,1076.692,19.7404017,8.4,P-CN-V7
Paracentrotus,lividus,Castello North,Castello North,Seep,P-CN-V8,Extreme,40.73187,P-CN-V8,31.751,487.613667,38496.1,2.0038,46.3555918,11.1258503,12.484,875,,8,P-CN-V8
Arbacia,lixula,Castello South,Castello South,Seep,A-CS-C1,Reference,40.731159,A-CS-C1,52.919,993.52,40876,2.8736,47.36915,10.030612244898,22.154,1342.024,36.801356,15.8,A-CS-C1
Arbacia,lixula,Castello South,Castello South,Seep,A-CS-C2,Reference,40.731159,A-CS-C2,54.495,1052.233,37203.1,3.2146,31.3344138,11.3945578231293,21.721,1453.486,33.6224101,16.4,A-CS-C2
Arbacia,lixula,Castello South,Castello South,Seep,A-CS-C3,Reference,40.731159,A-CS-C3,45.579,890.587333,37062.2,3.2145,38.817573,10.9251700680272,22.401,1394.243,29.7138224,15.9,A-CS-C3
Arbacia,lixula,Castello South,Castello South,Seep,A-CS-C4,Reference,40.731159,A-CS-C4,48.416,947.725,41844.7,2.8227,33.7544273,,23.883,1503.308,34.4944177,16.8,A-CS-C4
Arbacia,lixula,Castello South,Castello South,Seep,A-CS-C5,Reference,40.731159,A-CS-C5,44.5,880.589,40872.1,2.4609,32.26447,,22.1,1424.735,31.5264219,14.8,A-CS-C5
Arbacia,lixula,Castello South,Castello South,Seep,A-CS-C6,Reference,40.731159,A-CS-C6,40.943,745.632,39369,2.4609,35.0692903,,20.951,1229.704,30.3497171,12.8,A-CS-C6
Arbacia,lixula,Castello South,Castello South,Seep,A-CS-C7,Reference,40.731159,A-CS-C7,41.995,788.017,39641.6,2.223,40.0165077,,18.5314,1289.8,,14.2,A-CS-C7
